
Thread 3 => 1,16'ye 6 eklendi.
Thread 6 => 20,0'ye 9 eklendi.
Thread 6 => 20,1'ye 3 eklendi.
Thread 6 => 20,2'ye 2 eklendi.
Thread 6 => 20,8'ye 4 eklendi.
Thread 5 => 16,1'ye 2 eklendi.
Thread 6 => 18,1'ye 4 eklendi.
Thread 5 => 16,2'ye 9 eklendi.
Thread 6 => 18,8'ye 9 eklendi.
Thread 5 => 12,1'ye 9 eklendi.
Thread 5 => 12,2'ye 4 eklendi.
Thread 3_2 => 14,15'ye 7 eklendi.
Thread 1_2 => 1,4'ye 3 eklendi.
Thread 5_2 => 10,10'ye 4 eklendi.
Thread 2_2 => 1,16'ye 6 eklendi.
Thread 4_2 => 14,3'ye 2 eklendi.
Thread 1_2 => 3,2'ye 3 eklendi.
Thread 3_2 => 15,14'ye 7 eklendi.
Thread 2_2 => 2,15'ye 7 eklendi.
Thread 4_2 => 15,3'ye 7 eklendi.
Thread 1_2 => 6,3'ye 1 eklendi.
Thread 2_2 => 2,16'ye 2 eklendi.
Thread 3_2 => 15,15'ye 2 eklendi.
Thread 4_2 => 15,5'ye 1 eklendi.
Thread 2_2 => 2,17'ye 9 eklendi.
Thread 3_2 => 15,17'ye 8 eklendi.
Thread 4_2 => 16,4'ye 8 eklendi.
Thread 1_2 => 6,4'ye 4 eklendi.
Thread 2_2 => 3,15'ye 9 eklendi.
Thread 3_2 => 15,18'ye 9 eklendi.
Thread 4_2 => 16,7'ye 3 eklendi.
Thread 1_2 => 6,5'ye 9 eklendi.
Thread 2_2 => 3,17'ye 2 eklendi.
Thread 3_2 => 16,13'ye 2 eklendi.
Thread 1_2 => 7,4'ye 2 eklendi.
Thread 4_2 => 17,2'ye 6 eklendi.
Thread 2_2 => 3,18'ye 7 eklendi.
Thread 3_2 => 16,14'ye 6 eklendi.
Thread 2_2 => 4,16'ye 8 eklendi.
Thread 3_2 => 16,16'ye 9 eklendi.
Thread 4_2 => 17,3'ye 4 eklendi.
Thread 3_2 => 17,14'ye 5 eklendi.
Thread 2_2 => 5,14'ye 5 eklendi.
Thread 4_2 => 17,5'ye 9 eklendi.
Thread 2_2 => 5,15'ye 1 eklendi.
Thread 3_2 => 17,15'ye 6 eklendi.
Thread 4_2 => 17,6'ye 8 eklendi.
Thread 3_2 => 17,17'ye 3 eklendi.
Thread 2_2 => 5,17'ye 6 eklendi.
Thread 3_2 => 17,18'ye 2 eklendi.
Thread 4_2 => 18,3'ye 3 eklendi.
Thread 2_2 => 5,18'ye 3 eklendi.
Thread 3_2 => 18,15'ye 3 eklendi.
Thread 2_2 => 6,15'ye 6 eklendi.
Thread 4_2 => 18,5'ye 6 eklendi.
Thread 2_2 => 6,17'ye 5 eklendi.
Thread 3_2 => 18,17'ye 9 eklendi.
Thread 1_2 => 5,5'ye 4 eklendi.
Thread 2_2 => 3,14'ye 8 eklendi.
Thread 3_2 => 14,12'ye 2 eklendi.
Thread 4_2 => 12,7'ye 2 eklendi.
Thread 5_2 => 12,7'ye 2 eklendi.
Thread 3_2 => 14,17'ye 1 eklendi.
Thread 4_2 => 14,5'ye 4 eklendi.
Thread 4_2 => 15,2'ye 8 eklendi.
Thread 4_2 => 15,6'ye 9 eklendi.
Thread 4_2 => 16,6'ye 7 eklendi.
Thread Last => 0,0'ye 2 eklendi.
Thread 1_2 => 0,1'ye 3 eklendi.
Thread 1_2 => 8,2'ye 2 eklendi.
Thread Last => 0,2'ye 5 eklendi.
Thread 1_2 => 2,7'ye 5 eklendi.
Thread 1_2 => 6,7'ye 8 eklendi.
Thread 1_2 => 7,6'ye 5 eklendi.
Thread 1_2 => 7,8'ye 7 eklendi.
Thread 2_2 => 6,13'ye 9 eklendi.
Thread 1_2 => 0,7'ye 7 eklendi.
Thread 4_2 => 12,8'ye 5 eklendi.
Thread 5_2 => 6,13'ye 9 eklendi.
Thread 4_2 => 14,8'ye 8 eklendi.
Thread 1_2 => 0,8'ye 6 eklendi.
Thread 5_2 => 14,8'ye 8 eklendi.
Thread 4_2 => 19,6'ye 5 eklendi.
Thread 1_2 => 1,7'ye 2 eklendi.
Thread 4_2 => 19,7'ye 1 eklendi.
Thread 1_2 => 6,0'ye 5 eklendi.
Thread 1_2 => 6,1'ye 6 eklendi.
Thread 1_2 => 6,8'ye 3 eklendi.
Thread 1_2 => 8,0'ye 3 eklendi.
Thread 1_2 => 8,6'ye 6 eklendi.
Thread Last => 0,2'ye 6 eklendi.
Thread 1_2 => 0,8'ye 7 eklendi.
Thread 1_2 => 2,0'ye 5 eklendi.
Thread 1_2 => 2,8'ye 6 eklendi.
Thread 1_2 => 4,1'ye 6 eklendi.
Thread 1_2 => 6,1'ye 8 eklendi.
Thread 1_2 => 6,7'ye 5 eklendi.
Thread 1_2 => 6,8'ye 3 eklendi.
Thread 1_2 => 7,0'ye 1 eklendi.
Thread 1_2 => 7,2'ye 5 eklendi.
Thread 1_2 => 7,6'ye 7 eklendi.
Thread 1_2 => 7,7'ye 8 eklendi.
Thread 1_2 => 8,0'ye 3 eklendi.
Thread 1_2 => 8,6'ye 6 eklendi.
Thread Last => 0,2'ye 8 eklendi.
Thread 1_2 => 1,0'ye 1 eklendi.
Thread 1_2 => 1,2'ye 4 eklendi.
Thread 1_2 => 2,0'ye 5 eklendi.
Thread 1_2 => 2,1'ye 6 eklendi.
Thread 1_2 => 4,1'ye 8 eklendi.
Thread 1_2 => 4,2'ye 6 eklendi.
Thread 1_2 => 4,4'ye 7 eklendi.
Thread 1_2 => 5,2'ye 1 eklendi.
Thread 1_2 => 5,3'ye 8 eklendi.
Thread 1_2 => 5,6'ye 9 eklendi.
Thread 1_2 => 7,0'ye 8 eklendi.
Thread 1_2 => 7,2'ye 5 eklendi.
Thread Last => 0,0'ye 3 eklendi.
Thread Last => 0,1'ye 6 eklendi.
Thread 1_2 => 0,8'ye 7 eklendi.
Thread 1_2 => 2,8'ye 6 eklendi.
Thread 1_2 => 4,2'ye 6 eklendi.
Thread 1_2 => 6,8'ye 3 eklendi.
Thread 1_2 => 7,6'ye 7 eklendi.
Thread 1_2 => 8,1'ye 3 eklendi.
Thread 1_2 => 8,6'ye 6 eklendi.
Thread 1_2 => 3,6'ye 9 eklendi.
Thread 2_2 => 7,13'ye 6 eklendi.
Thread 5_2 => 7,13'ye 6 eklendi.
Thread 1_2 => 4,7'ye 7 eklendi.
Thread 1_2 => 5,3'ye 9 eklendi.
Thread 5_2 => 11,7'ye 3 eklendi.
Thread 5_2 => 12,12'ye 6 eklendi.
Thread 1_2 => 5,6'ye 1 eklendi.
Thread 1_2 => 6,0'ye 6 eklendi.
Thread 1_2 => 6,1'ye 8 eklendi.
Thread 1_2 => 6,7'ye 5 eklendi.
Thread 1_2 => 7,1'ye 9 eklendi.
Thread 1_2 => 7,7'ye 8 eklendi.
Thread 1_2 => 0,6'ye 5 eklendi.
Thread 3_2 => 14,20'ye 6 eklendi.
Thread 1_2 => 0,7'ye 2 eklendi.
Thread 3_2 => 19,18'ye 6 eklendi.
Thread 1_2 => 1,6'ye 8 eklendi.
Thread 1_2 => 2,0'ye 5 eklendi.
Thread 1_2 => 3,3'ye 2 eklendi.
Thread 1_2 => 3,5'ye 7 eklendi.
Thread 1_2 => 4,1'ye 1 eklendi.
Thread 1_2 => 4,4'ye 8 eklendi.
Thread 1_2 => 4,6'ye 4 eklendi.
Thread 1_2 => 5,2'ye 8 eklendi.
Thread 1_2 => 7,0'ye 1 eklendi.
Thread 1_2 => 7,2'ye 5 eklendi.
Thread 1_2 => 7,8'ye 4 eklendi.
Thread 1_2 => 8,0'ye 2 eklendi.
Thread 1_2 => 8,2'ye 4 eklendi.
Thread Last => 0,1'ye 7 eklendi.
Thread 1_2 => 0,8'ye 6 eklendi.
Thread 1_2 => 6,8'ye 3 eklendi.
Thread 1_2 => 8,1'ye 3 eklendi.
Thread 1_2 => 8,6'ye 6 eklendi.
Thread 1_2 => 7,1'ye 9 eklendi.
Thread 2_2 => 7,13'ye 6 eklendi.
Thread 5_2 => 7,13'ye 6 eklendi.
Thread 5_2 => 11,7'ye 3 eklendi.
Thread 5_2 => 12,12'ye 6 eklendi.
Thread 3_2 => 14,20'ye 6 eklendi.
Thread 3_2 => 19,18'ye 6 eklendi.
Thread 3_2 => 18,13'ye 6 eklendi.
Thread Last => 0,2'ye 2 eklendi.
Thread 1_2 => 2,0'ye 5 eklendi.
Thread 1_2 => 2,1'ye 6 eklendi.
Thread 1_2 => 4,2'ye 6 eklendi.
Thread 1_2 => 6,0'ye 6 eklendi.
Thread 1_2 => 6,1'ye 8 eklendi.
Thread 1_2 => 6,7'ye 5 eklendi.
Thread 1_2 => 7,0'ye 1 eklendi.
Thread 1_2 => 7,2'ye 5 eklendi.
Thread 1_2 => 7,7'ye 8 eklendi.
Thread 1_2 => 8,0'ye 2 eklendi.
Thread 1_2 => 8,2'ye 4 eklendi.
Thread Last => 0,2'ye 5 eklendi.
Thread 1_2 => 0,6'ye 8 eklendi.
Thread 1_2 => 0,7'ye 2 eklendi.
Thread 1_2 => 2,7'ye 5 eklendi.
Thread 1_2 => 6,7'ye 8 eklendi.
Thread 1_2 => 7,6'ye 5 eklendi.
Thread 1_2 => 7,8'ye 7 eklendi.
Thread 1_2 => 6,0'ye 5 eklendi.
Thread 2_2 => 6,12'ye 9 eklendi.
Thread 5_2 => 6,12'ye 9 eklendi.
Thread 4_2 => 12,8'ye 5 eklendi.
Thread 1_2 => 6,1'ye 6 eklendi.
Thread 5_2 => 11,13'ye 9 eklendi.
Thread 4_2 => 14,8'ye 8 eklendi.
Thread 5_2 => 14,13'ye 4 eklendi.
Thread 4_2 => 19,6'ye 5 eklendi.
Thread 4_2 => 19,7'ye 1 eklendi.
Thread Last => 0,2'ye 8 eklendi.
Thread 1_2 => 0,6'ye 5 eklendi.
Thread 1_2 => 0,7'ye 2 eklendi.
Thread 1_2 => 2,0'ye 5 eklendi.
Thread 1_2 => 2,1'ye 6 eklendi.
Thread 1_2 => 4,1'ye 8 eklendi.
Thread 1_2 => 4,2'ye 6 eklendi.
Thread 1_2 => 4,4'ye 7 eklendi.
Thread 1_2 => 5,2'ye 1 eklendi.
Thread 1_2 => 5,3'ye 8 eklendi.
Thread 1_2 => 5,6'ye 9 eklendi.
Thread 1_2 => 6,0'ye 6 eklendi.
Thread 1_2 => 7,0'ye 8 eklendi.
Thread 1_2 => 7,2'ye 5 eklendi.
Thread 1_2 => 8,0'ye 1 eklendi.
Thread Last => 0,1'ye 8 eklendi.
Thread Last => 0,2'ye 2 eklendi.
Thread 1_2 => 1,0'ye 1 eklendi.
Thread 1_2 => 1,2'ye 4 eklendi.
Thread 1_2 => 2,0'ye 5 eklendi.
Thread 1_2 => 2,1'ye 6 eklendi.
Thread 1_2 => 4,1'ye 1 eklendi.
Thread 1_2 => 4,2'ye 6 eklendi.
Thread 1_2 => 5,2'ye 8 eklendi.
Thread 1_2 => 5,3'ye 9 eklendi.
Thread 1_2 => 5,6'ye 1 eklendi.
Thread 1_2 => 6,1'ye 3 eklendi.
Thread 1_2 => 6,8'ye 6 eklendi.
Thread 1_2 => 7,0'ye 8 eklendi.
Thread 1_2 => 7,2'ye 5 eklendi.
Thread 1_2 => 8,2'ye 1 eklendi.
Thread 1_2 => 8,8'ye 3 eklendi.
Thread Last => 0,2'ye 5 eklendi.
Thread 1_2 => 2,7'ye 5 eklendi.
Thread 1_2 => 6,7'ye 8 eklendi.
Thread 1_2 => 7,6'ye 5 eklendi.
Thread 1_2 => 7,8'ye 7 eklendi.
Thread 1_2 => 0,8'ye 6 eklendi.
Thread 2_2 => 6,13'ye 9 eklendi.
Thread 4_2 => 12,8'ye 5 eklendi.
Thread 5_2 => 6,13'ye 9 eklendi.
Thread 1_2 => 1,6'ye 8 eklendi.
Thread 4_2 => 14,8'ye 8 eklendi.
Thread 5_2 => 8,6'ye 6 eklendi.
Thread 1_2 => 6,0'ye 5 eklendi.
Thread 4_2 => 19,6'ye 5 eklendi.
Thread 1_2 => 6,1'ye 6 eklendi.
Thread 4_2 => 19,7'ye 1 eklendi.
Thread 1_2 => 6,8'ye 3 eklendi.
Thread 1_2 => 8,1'ye 3 eklendi.
Thread Last => 0,2'ye 6 eklendi.
Thread 1_2 => 0,8'ye 7 eklendi.
Thread 1_2 => 2,0'ye 5 eklendi.
Thread 5_2 => 7,6'ye 7 eklendi.
Thread 1_2 => 2,8'ye 6 eklendi.
Thread 1_2 => 3,6'ye 9 eklendi.
Thread 1_2 => 4,1'ye 6 eklendi.
Thread 1_2 => 4,7'ye 7 eklendi.
Thread 1_2 => 5,3'ye 9 eklendi.
Thread 1_2 => 5,6'ye 1 eklendi.
Thread 1_2 => 6,1'ye 3 eklendi.
Thread 1_2 => 7,2'ye 5 eklendi.
Thread 1_2 => 8,6'ye 6 eklendi.
Thread 1_2 => 8,8'ye 3 eklendi.
Thread Last => 0,0'ye 5 eklendi.
Thread 1_2 => 0,1'ye 3 eklendi.
Thread 1_2 => 2,7'ye 5 eklendi.
Thread 1_2 => 6,7'ye 8 eklendi.
Thread 1_2 => 7,2'ye 5 eklendi.
Thread 2_2 => 6,13'ye 9 eklendi.
Thread 1_2 => 6,1'ye 6 eklendi.
Thread 5_2 => 6,13'ye 9 eklendi.
Thread 1_2 => 6,8'ye 3 eklendi.
Thread 1_2 => 8,0'ye 3 eklendi.
Thread 1_2 => 8,2'ye 2 eklendi.
Thread Last => 0,0'ye 6 eklendi.
Thread 1_2 => 0,1'ye 3 eklendi.
Thread 1_2 => 0,8'ye 7 eklendi.
Thread 1_2 => 2,8'ye 6 eklendi.
Thread 1_2 => 6,8'ye 3 eklendi.
Thread 1_2 => 7,6'ye 7 eklendi.
Thread 1_2 => 8,0'ye 3 eklendi.
Thread 1_2 => 8,2'ye 2 eklendi.
Thread 1_2 => 8,6'ye 6 eklendi.
Thread 2_2 => 7,13'ye 6 eklendi.
Thread 1_2 => 3,6'ye 9 eklendi.
Thread 5_2 => 7,13'ye 6 eklendi.
Thread 1_2 => 4,7'ye 7 eklendi.
Thread 5_2 => 11,7'ye 3 eklendi.
Thread 1_2 => 5,3'ye 9 eklendi.
Thread 5_2 => 12,12'ye 6 eklendi.
Thread 1_2 => 5,6'ye 1 eklendi.
Thread 1_2 => 6,1'ye 6 eklendi.
Thread 1_2 => 3,3'ye 2 eklendi.
Thread 3_2 => 14,20'ye 6 eklendi.
Thread 1_2 => 3,5'ye 7 eklendi.
Thread 3_2 => 19,18'ye 6 eklendi.
Thread 1_2 => 4,2'ye 6 eklendi.
Thread 1_2 => 4,4'ye 8 eklendi.
Thread 1_2 => 4,6'ye 4 eklendi.
Thread 1_2 => 5,2'ye 8 eklendi.
Thread 1_2 => 0,2'ye 5 eklendi.
Thread 3_2 => 18,13'ye 6 eklendi.
Thread 1_2 => 0,6'ye 8 eklendi.
Thread 1_2 => 0,7'ye 2 eklendi.
Thread 1_2 => 2,3'ye 8 eklendi.
Thread 1_2 => 2,4'ye 7 eklendi.
Thread 1_2 => 2,5'ye 2 eklendi.
Thread 1_2 => 2,7'ye 5 eklendi.
Thread 1_2 => 4,1'ye 1 eklendi.
Thread 1_2 => 6,7'ye 8 eklendi.
Thread Last => 0,0'ye 8 eklendi.
Thread 1_2 => 0,1'ye 3 eklendi.
Thread Last => 0,2'ye 2 eklendi.
Thread 1_2 => 1,0'ye 1 eklendi.
Thread 1_2 => 1,2'ye 4 eklendi.
Thread 1_2 => 2,0'ye 5 eklendi.
Thread 1_2 => 2,1'ye 6 eklendi.
Thread 1_2 => 4,2'ye 6 eklendi.
Thread 1_2 => 6,1'ye 8 eklendi.
Thread 1_2 => 6,7'ye 5 eklendi.
Thread 1_2 => 7,2'ye 5 eklendi.
Thread 1_2 => 7,7'ye 8 eklendi.
Thread 1_2 => 8,0'ye 2 eklendi.
Thread 1_2 => 8,2'ye 1 eklendi.
Thread Last => 0,2'ye 5 eklendi.
Thread 1_2 => 2,7'ye 5 eklendi.
Thread 1_2 => 6,7'ye 8 eklendi.
Thread 1_2 => 7,6'ye 5 eklendi.
Thread 1_2 => 7,8'ye 7 eklendi.
Thread 1_2 => 0,8'ye 6 eklendi.
Thread 2_2 => 6,13'ye 9 eklendi.
Thread 4_2 => 12,8'ye 5 eklendi.
Thread 5_2 => 6,13'ye 9 eklendi.
Thread 1_2 => 1,6'ye 8 eklendi.
Thread 5_2 => 8,6'ye 6 eklendi.
Thread 4_2 => 14,8'ye 8 eklendi.
Thread 1_2 => 6,0'ye 5 eklendi.
Thread 5_2 => 14,8'ye 8 eklendi.
Thread 1_2 => 6,1'ye 6 eklendi.
Thread 4_2 => 19,6'ye 5 eklendi.
Thread 1_2 => 6,8'ye 3 eklendi.
Thread 4_2 => 19,7'ye 1 eklendi.
Thread 1_2 => 7,0'ye 1 eklendi.
Thread 1_2 => 8,0'ye 3 eklendi.
Thread 1_2 => 8,2'ye 2 eklendi.
Thread Last => 0,2'ye 6 eklendi.
Thread 1_2 => 0,8'ye 7 eklendi.
Thread 1_2 => 2,0'ye 5 eklendi.
Thread 1_2 => 2,8'ye 6 eklendi.
Thread 1_2 => 4,1'ye 6 eklendi.
Thread 1_2 => 6,1'ye 8 eklendi.
Thread 1_2 => 6,7'ye 5 eklendi.
Thread 1_2 => 6,8'ye 3 eklendi.
Thread 1_2 => 7,0'ye 1 eklendi.
Thread 1_2 => 7,2'ye 5 eklendi.
Thread 1_2 => 7,6'ye 7 eklendi.
Thread 1_2 => 7,7'ye 8 eklendi.
Thread 1_2 => 8,0'ye 3 eklendi.
Thread 1_2 => 8,2'ye 2 eklendi.
Thread 1_2 => 8,6'ye 6 eklendi.
Thread 2_2 => 7,13'ye 6 eklendi.
Thread 1_2 => 0,6'ye 5 eklendi.
Thread 5_2 => 7,13'ye 6 eklendi.
Thread 1_2 => 0,7'ye 2 eklendi.
Thread 5_2 => 11,7'ye 3 eklendi.
Thread 1_2 => 1,0'ye 2 eklendi.
Thread 5_2 => 12,12'ye 6 eklendi.
Thread 1_2 => 1,6'ye 8 eklendi.
Thread 1_2 => 3,6'ye 9 eklendi.
Thread 1_2 => 4,7'ye 7 eklendi.
Thread 1_2 => 5,3'ye 9 eklendi.
Thread 1_2 => 5,6'ye 1 eklendi.
Thread 1_2 => 6,0'ye 6 eklendi.
Thread 1_2 => 3,3'ye 2 eklendi.
Thread 3_2 => 14,20'ye 6 eklendi.
Thread 1_2 => 3,5'ye 7 eklendi.
Thread 3_2 => 19,18'ye 6 eklendi.
Thread 1_2 => 4,2'ye 1 eklendi.
Thread 1_2 => 4,4'ye 8 eklendi.
Thread 1_2 => 4,6'ye 4 eklendi.
Thread 1_2 => 5,2'ye 8 eklendi.
Thread 1_2 => 1,2'ye 4 eklendi.
Thread 3_2 => 18,13'ye 6 eklendi.
Thread 1_2 => 2,3'ye 8 eklendi.
Thread 1_2 => 2,4'ye 7 eklendi.
Thread 1_2 => 2,5'ye 2 eklendi.
Thread 1_2 => 2,7'ye 4 eklendi.
Thread 1_2 => 1,1'ye 7 eklendi.
Thread 1_2 => 2,1'ye 1 eklendi.
Thread Last => 0,12'ye 1 eklendi.
Thread 2_2 => 2,13'ye 8 eklendi.
Thread 2_2 => 2,19'ye 1 eklendi.
Thread 5_2 => 6,13'ye 9 eklendi.
Thread 2_2 => 2,20'ye 3 eklendi.
Thread 2_2 => 4,13'ye 1 eklendi.
Thread 2_2 => 4,14'ye 9 eklendi.
Thread 2_2 => 6,12'ye 8 eklendi.
Thread 2_2 => 6,20'ye 2 eklendi.
Thread 2_2 => 0,14'ye 3 eklendi.
Thread 2_2 => 1,12'ye 9 eklendi.
Thread 2_2 => 1,13'ye 5 eklendi.
Thread 2_2 => 1,19'ye 4 eklendi.
Thread 2_2 => 2,12'ye 4 eklendi.
Thread 2_2 => 6,19'ye 3 eklendi.
Thread 2_2 => 7,12'ye 5 eklendi.
Thread 2_2 => 7,14'ye 4 eklendi.
Thread 2_2 => 7,16'ye 3 eklendi.
Thread 2_2 => 7,20'ye 7 eklendi.
Thread 2_2 => 8,12'ye 3 eklendi.
Thread 2_2 => 8,13'ye 2 eklendi.
Thread 2_2 => 8,14'ye 1 eklendi.
Thread 2_2 => 8,19'ye 6 eklendi.
Thread 2_2 => 8,20'ye 5 eklendi.
Thread 1_2 => 7,8'ye 9 eklendi.
Thread 3_2 => 13,12'ye 7 eklendi.
Thread 2_2 => 0,13'ye 7 eklendi.
Thread 5_2 => 7,8'ye 9 eklendi.
Thread 3_2 => 13,13'ye 5 eklendi.
Thread 1_2 => 8,1'ye 9 eklendi.
Thread 2_2 => 0,20'ye 6 eklendi.
Thread 5_2 => 7,9'ye 2 eklendi.
Thread 1_2 => 8,8'ye 4 eklendi.
Thread 3_2 => 14,13'ye 4 eklendi.
Thread 5_2 => 8,8'ye 4 eklendi.
Thread 2_2 => 1,14'ye 2 eklendi.
Thread 3_2 => 18,12'ye 5 eklendi.
Thread 5_2 => 9,14'ye 2 eklendi.
Thread 2_2 => 1,18'ye 8 eklendi.
Thread 3_2 => 18,16'ye 1 eklendi.
Thread 5_2 => 10,8'ye 2 eklendi.
Thread 3_2 => 18,20'ye 7 eklendi.
Thread 2_2 => 4,18'ye 6 eklendi.
Thread 5_2 => 11,6'ye 9 eklendi.
Thread 3_2 => 19,13'ye 1 eklendi.
Thread 2_2 => 4,19'ye 2 eklendi.
Thread 5_2 => 11,14'ye 5 eklendi.
Thread 3_2 => 19,14'ye 4 eklendi.
Thread 2_2 => 6,16'ye 1 eklendi.
Thread 5_2 => 12,13'ye 8 eklendi.
Thread 3_2 => 19,16'ye 5 eklendi.
Thread 2_2 => 7,18'ye 1 eklendi.
Thread 2_2 => 7,19'ye 9 eklendi.
Thread 3_2 => 20,13'ye 7 eklendi.
Thread 5_2 => 12,14'ye 3 eklendi.
Thread 3_2 => 20,14'ye 8 eklendi.
Thread 5_2 => 13,7'ye 9 eklendi.
Thread 5_2 => 13,8'ye 8 eklendi.
Thread 3_2 => 20,19'ye 5 eklendi.
Thread 5_2 => 13,9'ye 3 eklendi.
Thread 5_2 => 14,7'ye 6 eklendi.
Thread 5_2 => 14,8'ye 7 eklendi.
Thread 5_2 => 14,9'ye 1 eklendi.
Thread 5_2 => 14,11'ye 8 eklendi.
Thread Last => 0,12'ye 3 eklendi.
Thread 2_2 => 8,14'ye 3 eklendi.
Thread 5_2 => 8,14'ye 3 eklendi.
Thread 5_2 => 13,12'ye 3 eklendi.
Thread 5_2 => 13,13'ye 5 eklendi.
Thread 2_2 => 8,13'ye 2 eklendi.
Thread 3_2 => 12,13'ye 7 eklendi.
Thread 5_2 => 8,13'ye 2 eklendi.
Thread 3_2 => 13,16'ye 8 eklendi.
Thread 5_2 => 9,14'ye 2 eklendi.
Thread 3_2 => 14,16'ye 3 eklendi.
Thread 5_2 => 10,8'ye 2 eklendi.
Thread 5_2 => 12,9'ye 3 eklendi.
Thread 5_2 => 14,8'ye 7 eklendi.
Thread 5_2 => 7,9'ye 2 eklendi.
Thread 4_2 => 13,8'ye 8 eklendi.
Thread Last => 0,13'ye 1 eklendi.
Thread 2_2 => 1,13'ye 7 eklendi.
Thread 2_2 => 2,13'ye 8 eklendi.
Thread 2_2 => 2,19'ye 1 eklendi.
Thread 2_2 => 2,20'ye 3 eklendi.
Thread 2_2 => 4,13'ye 9 eklendi.
Thread 2_2 => 4,14'ye 1 eklendi.
Thread 2_2 => 7,14'ye 4 eklendi.
Thread 2_2 => 8,19'ye 6 eklendi.
Thread Last => 0,13'ye 7 eklendi.
Thread Last => 0,14'ye 1 eklendi.
Thread 2_2 => 1,14'ye 2 eklendi.
Thread 5_2 => 7,14'ye 4 eklendi.
Thread 2_2 => 2,13'ye 8 eklendi.
Thread 5_2 => 8,8'ye 4 eklendi.
Thread 2_2 => 2,19'ye 1 eklendi.
Thread 5_2 => 13,14'ye 1 eklendi.
Thread 2_2 => 2,20'ye 3 eklendi.
Thread 5_2 => 14,13'ye 4 eklendi.
Thread 2_2 => 4,13'ye 1 eklendi.
Thread 2_2 => 4,14'ye 9 eklendi.
Thread 2_2 => 6,13'ye 9 eklendi.
Thread 2_2 => 8,19'ye 6 eklendi.
Thread 1_2 => 7,1'ye 4 eklendi.
Thread 2_2 => 1,12'ye 9 eklendi.
Thread 3_2 => 12,14'ye 8 eklendi.
Thread 4_2 => 13,6'ye 4 eklendi.
Thread 5_2 => 6,12'ye 8 eklendi.
Thread 1_2 => 7,8'ye 9 eklendi.
Thread 2_2 => 1,13'ye 5 eklendi.
Thread 3_2 => 14,19'ye 8 eklendi.
Thread 4_2 => 20,6'ye 6 eklendi.
Thread 1_2 => 8,1'ye 9 eklendi.
Thread 5_2 => 7,8'ye 9 eklendi.
Thread 2_2 => 1,18'ye 8 eklendi.
Thread 1_2 => 8,7'ye 1 eklendi.
Thread 3_2 => 19,13'ye 1 eklendi.
Thread 5_2 => 7,11'ye 5 eklendi.
Thread 2_2 => 1,19'ye 4 eklendi.
Thread 3_2 => 19,14'ye 4 eklendi.
Thread 5_2 => 7,12'ye 1 eklendi.
Thread 2_2 => 1,20'ye 7 eklendi.
Thread 3_2 => 19,16'ye 5 eklendi.
Thread 5_2 => 8,9'ye 7 eklendi.
Thread 3_2 => 20,13'ye 8 eklendi.
Thread 2_2 => 2,12'ye 4 eklendi.
Thread 5_2 => 8,12'ye 5 eklendi.
Thread 2_2 => 4,18'ye 6 eklendi.
Thread 5_2 => 9,7'ye 4 eklendi.
Thread 3_2 => 20,14'ye 3 eklendi.
Thread 2_2 => 4,19'ye 2 eklendi.
Thread 5_2 => 9,12'ye 7 eklendi.
Thread 5_2 => 9,13'ye 8 eklendi.
Thread 2_2 => 6,16'ye 1 eklendi.
Thread 5_2 => 10,9'ye 5 eklendi.
Thread 2_2 => 6,19'ye 3 eklendi.
Thread 5_2 => 10,11'ye 1 eklendi.
Thread 2_2 => 6,20'ye 2 eklendi.
Thread 5_2 => 10,12'ye 9 eklendi.
Thread 2_2 => 7,16'ye 3 eklendi.
Thread 5_2 => 11,6'ye 9 eklendi.
Thread 2_2 => 7,18'ye 9 eklendi.
Thread 5_2 => 11,10'ye 7 eklendi.
Thread 2_2 => 7,19'ye 7 eklendi.
Thread 5_2 => 11,12'ye 4 eklendi.
Thread 2_2 => 7,20'ye 5 eklendi.
Thread 2_2 => 8,18'ye 1 eklendi.
Thread 5_2 => 11,13'ye 1 eklendi.
Thread 2_2 => 8,20'ye 8 eklendi.
Thread 5_2 => 11,14'ye 5 eklendi.
Thread 5_2 => 12,6'ye 1 eklendi.
Thread 5_2 => 12,8'ye 5 eklendi.
Thread 5_2 => 12,10'ye 9 eklendi.
Thread 5_2 => 12,11'ye 4 eklendi.
Thread 5_2 => 13,7'ye 9 eklendi.
Thread 5_2 => 13,9'ye 6 eklendi.
Thread 5_2 => 13,11'ye 7 eklendi.
Thread 5_2 => 14,7'ye 6 eklendi.
Thread 5_2 => 14,9'ye 1 eklendi.
Thread 5_2 => 14,11'ye 8 eklendi.
Thread 1_2 => 1,7'ye 9 eklendi.
Thread 2_2 => 0,18'ye 2 eklendi.
Thread 3_2 => 18,16'ye 1 eklendi.
Thread 4_2 => 13,4'ye 1 eklendi.
Thread 1_2 => 1,8'ye 1 eklendi.
Thread 2_2 => 0,19'ye 9 eklendi.
Thread 5_2 => 6,9'ye 4 eklendi.
Thread 4_2 => 14,1'ye 1 eklendi.
Thread 3_2 => 18,19'ye 4 eklendi.
Thread 2_2 => 0,20'ye 6 eklendi.
Thread 5_2 => 6,11'ye 6 eklendi.
Thread 4_2 => 14,4'ye 9 eklendi.
Thread 3_2 => 18,20'ye 7 eklendi.
Thread 5_2 => 8,10'ye 8 eklendi.
Thread 4_2 => 19,6'ye 5 eklendi.
